kepler_id,quarter,flare_start_time,flare_end_time,flare_peak_time,energy,excluded,Teff,Radius,logg,Prot,flare_amp,flare_duration,time_start_BJD,time_end_BJD,flare_peak_BJD,Prot source
11179565,2,226.2846903,226.3459905,226.3051236,1.44E+34,FALSE,5738,1.019,4.383,11,0.0027,0.061300195,55059.28469,55059.34599,55059.30512,This work
11179565,6,587.3055938,587.3873278,587.3260273,2.09E+34,FALSE,5738,1.019,4.383,11,0.0025,0.081734018,55420.30559,55420.38733,55420.32603,This work
11181676,9,843.4383526,843.6018267,843.4792211,1.57E+35,FALSE,5910,0.954,4.475,NA,0.018805892,0.163474098,55676.43835,55676.60183,55676.47922,NA
11183428,9,847.3820874,847.4433902,847.4025218,3.78E+34,FALSE,5359,0.915,4.425,16,0.002696516,0.06130282,55680.38209,55680.44339,55680.40252,This work
11187898,9,880.3832982,880.4446012,880.4037326,4.94E+34,FALSE,5933,0.944,4.485,NA,0.005093307,0.061303005,55713.3833,55713.4446,55713.40373,NA
11190522,5,494.2081238,494.2694268,494.228558,8.68E+34,FALSE,5763,0.904,4.527,NA,0.0064,0.061302931,55327.20812,55327.26943,55327.22856,NA
11192032,7,671.7357331,671.7970317,671.7561661,5.33E+34,FALSE,5929,0.967,4.432,NA,0.003674591,0.061298612,55504.73573,55504.79703,55504.75617,NA
11192936,12,1143.38146,1143.442761,1143.401894,5.54E+34,FALSE,5982,0.96,4.493,15,0.010128749,0.061300633,55976.38146,55976.44276,55976.40189,This work
11192996,13,1232.065079,1232.126382,1232.085513,2.05E+34,FALSE,5900,0.951,4.509,NA,0.003056069,0.061302943,56065.06508,56065.12638,56065.08551,NA
11198853,17,1575.164499,1575.225802,1575.184933,3.89E+35,FALSE,5780,1,4.438,NA,0.028086643,0.06130263,56408.1645,56408.2258,56408.18493,NA
11198853,17,1561.677978,1561.759714,1561.698411,5.39E+35,FALSE,5780,1,4.438,NA,0.116507317,0.081736122,56394.67798,56394.75971,56394.69841,NA
11199277,3,325.4263428,325.4876411,325.4467755,3.72E+34,FALSE,5638,0.924,4.493,29,0.0079,0.061298347,55158.42634,55158.48764,55158.44678,This work
11205182,17,1563.802994,1563.88473,1563.823428,6.13E+35,FALSE,5780,1,4.438,NA,0.136842321,0.081736305,56396.80299,56396.88473,56396.82343,NA
11231445,3,317.0278061,317.0891049,317.0482389,5.58E+34,FALSE,5655,0.927,4.484,13,0.01,0.061298825,55150.02781,55150.0891,55150.04824,This work
11234197,10,915.6732006,915.7345026,915.6936347,3.35E+34,FALSE,5245,0.936,4.456,NA,0.010635319,0.061301904,55748.6732,55748.7345,55748.69363,NA
11234616,3,317.1709449,317.2322437,317.1913779,4.08E+34,FALSE,5704,0.99,4.477,NA,0.0067,0.061298753,55150.17094,55150.23224,55150.19138,NA
11234621,6,590.5341016,590.5954021,590.5545351,1.59E+34,FALSE,5977,1.022,4.473,8,0.0022,0.061300479,55423.5341,55423.5954,55423.55454,This work
11235912,3,269.296643,269.3579422,269.3170761,1.85E+34,FALSE,5387,0.922,4.418,22.103,0.0029,0.061299192,55102.29664,55102.35794,55102.31708,McQuillan et al.(2014)
11235912,5,535.383301,535.4650372,535.4037349,2.11E+34,FALSE,5387,0.922,4.418,22.103,0.0041,0.081736248,55368.3833,55368.46504,55368.40373,McQuillan et al.(2014)
11235912,5,468.9720878,469.0538249,469.0129562,2.11E+34,FALSE,5387,0.922,4.418,22.103,0.004,0.08173701,55301.97209,55302.05382,55302.01296,McQuillan et al.(2014)
11236533,6,571.9599777,572.0212789,571.9804114,4.98E+34,FALSE,5460,0.93,4.509,NA,0.0074,0.061301165,55404.95998,55405.02128,55404.98041,NA
11242646,3,280.1468117,280.2081107,280.1672447,4.34E+34,FALSE,5738,0.949,4.505,0.5,0.0102,0.061298919,55113.14681,55113.20811,55113.16724,This work
11242646,11,1075.420672,1075.481971,1075.441105,4.93E+34,FALSE,5738,0.949,4.505,0.5,0.010124829,0.061298723,55908.42067,55908.48197,55908.4411,This work
11242646,11,1081.918343,1081.979642,1081.938776,4.93E+34,FALSE,5738,0.949,4.505,0.5,0.013372103,0.061298825,55914.91834,55914.97964,55914.93878,This work
11242646,3,316.6603903,316.7421218,316.6808232,6.06E+34,FALSE,5738,0.949,4.505,0.5,0.0086,0.081731456,55149.66039,55149.74212,55149.68082,This work
11242646,14,1350.214459,1350.275759,1350.234892,6.24E+34,FALSE,5738,0.949,4.505,0.5,0.010071833,0.061300218,56183.21446,56183.27576,56183.23489,This work
11242646,16,1496.596803,1496.658103,1496.617236,6.31E+34,FALSE,5738,0.949,4.505,0.5,0.00592079,0.061300041,56329.5968,56329.6581,56329.61724,This work
11242646,10,994.9556814,995.016981,994.9761146,6.57E+34,FALSE,5738,0.949,4.505,0.5,0.005547156,0.061299662,55827.95568,55828.01698,55827.97611,This work
11242646,10,930.5898954,930.6511973,930.6103295,6.57E+34,FALSE,5738,0.949,4.505,0.5,0.005024633,0.061301895,55763.5899,55763.6512,55763.61033,This work
11242646,11,1060.034732,1060.116463,1060.055165,7.36E+34,FALSE,5738,0.949,4.505,0.5,0.113102297,0.081731563,55893.03473,55893.11646,55893.05516,This work
11242646,6,602.8760199,602.9373202,602.8964533,9.14E+34,FALSE,5738,0.949,4.505,0.5,0.0158,0.061300322,55435.87602,55435.93732,55435.89645,This work
11242646,16,1549.826551,1549.928721,1549.846985,1.07E+35,FALSE,5738,0.949,4.505,0.5,0.02959302,0.102170062,56382.82655,56382.92872,56382.84699,This work
11242646,2,185.2743307,185.3356326,185.2947646,1.14E+35,FALSE,5738,0.949,4.505,0.5,0.0482,0.061301879,55018.27433,55018.33563,55018.29476,This work
11242646,6,553.4877319,553.5490338,553.5081659,1.50E+35,FALSE,5738,0.949,4.505,0.5,0.0078,0.061301946,55386.48773,55386.54903,55386.50817,This work
11242646,6,625.1483389,625.2300718,625.1687722,1.86E+35,FALSE,5738,0.949,4.505,0.5,0.0521,0.081732891,55458.14834,55458.23007,55458.16877,This work
11242646,10,949.6750992,949.8998702,949.695533,2.06E+35,FALSE,5738,0.949,4.505,0.5,0.022472399,0.224771011,55782.6751,55782.89987,55782.69553,This work
11242646,15,1395.719135,1395.821299,1395.739568,2.29E+35,FALSE,5738,0.949,4.505,0.5,0.088475309,0.102164774,56228.71913,56228.8213,56228.73957,This work
11242646,7,633.975485,634.0980838,634.0163512,2.78E+35,FALSE,5738,0.949,4.505,0.5,0.045330519,0.122598774,55466.97548,55467.09808,55467.01635,This work
11242646,1,139.951432,140.033169,139.9923004,2.83E+35,FALSE,5738,0.949,4.505,0.5,0.0124,0.081736984,54972.95143,54973.03317,54972.9923,This work
11242646,15,1431.149774,1431.292804,1431.19064,3.50E+35,FALSE,5738,0.949,4.505,0.5,0.026890525,0.143030053,56264.14977,56264.2928,56264.19064,This work
11242646,11,1029.242366,1029.405829,1029.262799,3.56E+35,FALSE,5738,0.949,4.505,0.5,0.001426111,0.163463613,55862.24237,55862.40583,55862.2628,This work
11242646,5,506.4483176,506.550489,506.468752,4.28E+35,FALSE,5738,0.949,4.505,0.5,0.0957,0.102171407,55339.44832,55339.55049,55339.46875,This work
11242646,13,1232.514769,1232.596506,1232.535203,4.30E+35,FALSE,5738,0.949,4.505,0.5,0.024502551,0.081737303,56065.51477,56065.59651,56065.5352,This work
11242646,13,1226.874901,1226.956638,1226.91577,5.04E+35,FALSE,5738,0.949,4.505,0.5,0.03776255,0.081737178,56059.8749,56059.95664,56059.91577,This work
11242646,14,1352.441699,1352.911667,1352.462133,6.00E+35,FALSE,5738,0.949,4.505,0.5,0.009228307,0.469967804,56185.4417,56185.91167,56185.46213,This work
