kepler_id,RA,Dec,Teff,logg,Radius,Prot
2717016,292.30353,37.976688,5798,4.507,0.941,
2717082,292.31525,37.93391,5717,4.438,1.001,
2717094,292.3179,37.968262,5984,4.521,0.906,
2717119,292.32336,37.937061,5754,4.514,0.943,
2717172,292.33368,37.991989,5880,4.492,0.93,
2717177,292.3349,37.980259,5865,4.518,0.918,
2717194,292.33765,37.924179,5592,4.37,0.989,
2717344,292.36856,37.962219,5941,4.519,0.911,
2717413,292.38217,37.901009,5891,4.453,0.91,
2718250,292.56833,37.934074,5780,4.438,1,
2718259,292.57053,37.97308,5790,4.528,0.9,
2718392,292.60135,37.977669,5936,4.501,0.965,
2718479,292.61914,37.955589,5911,4.324,1.126,
2718608,292.65149,37.980469,5982,4.493,0.96,
2718891,292.71725,37.91243,5605,4.423,1.007,
2719035,292.75024,37.913078,5997,4.522,0.904,
2719073,292.75632,37.973438,5778,4.531,0.911,
2719226,292.7887,37.944401,5778,4.531,0.911,
2719235,292.79022,37.901772,5776,4.512,0.95,
2719377,292.81833,37.9632,5977,4.473,1.022,
2719862,292.92862,37.9137,5955,4.4,0.999,
2720016,292.96002,37.942722,5873,4.443,1.002,
2720129,292.98593,37.99329,5869,4.513,0.942,
2720200,293.00192,37.9048,5906,4.489,0.907,
2720322,293.02817,37.982929,5948,4.419,0.948,
2720526,293.07416,37.98061,5743,4.534,0.903,
2721030,293.18454,37.969841,5957,4.506,0.937,
2721416,293.27084,37.907742,5684,4.36,1.038,
2721594,293.30957,37.920139,5546,4.338,1.033,
2721668,293.32458,37.956989,5957,4.498,0.971,
2721785,293.34827,37.933708,5799,4.392,0.913,
2721795,293.35007,37.900318,5944,4.375,1.032,
